#OTU ID	CJ1_B_Fr	CJ1_S_Fr	LG1_B_Fr	LG1_S_Fr	LG2_B_Fr	LG2_S_Fr	SY1_B_Fr	SY1_S_Fr	SY2_B_Fr	SY2_S_Fr	WC1_B_Fr	WC1_S_Fr	WC2_B_Fr	WC2_S_Fr	W18_Fr	W19_Fr	W20_Fr	W21_Fr	W22_Fr	W23_Fr	W24_Fr	W25_Fr	W26_Fr	W27_Fr	W28_Fr	W29_Fr	W30_Fr	W31_Fr	W32_Fr	W33_Fr	W34_Fr	W35_Fr	W36_Fr	W37_Fr	W38_Fr	W39_Fr	W40_Fr	W41_Fr	W42_Fr	W43_Fr	W44_Fr	W45_Fr
DJ_BAC_ASV_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	13	55	39	88	65	67	109	104	76	109	92	90	135	126	74	406	511	686	114	371	481	130	89	333	225	672	415
DJ_BAC_ASV_30	0	0	0	0	0	69	0	0	0	0	0	79	0	0	214	144	407	671	2306	101	367	198	155	149	59	0	25	44	45	47	47	43	36	30	0	73	27	34	24	31	90	89
DJ_BAC_ASV_98	46	70	285	137	464	382	307	703	416	518	302	416	148	181	84	58	52	78	79	162	95	69	22	91	40	19	16	0	11	22	0	12	0	12	13	6	7	7	69	32	33	41
DJ_BAC_ASV_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	36	26	36	70	111	59	101	411	147	180	432	277	184	231	286	592	617	362	157	199	140	150	80	53	228	117	78
DJ_BAC_ASV_84	97	123	243	114	533	532	288	258	366	262	425	455	237	263	81	29	67	43	25	23	36	92	12	40	27	11	3	10	24	11	10	18	9	28	20	5	9	26	40	24	16	27
DJ_BAC_ASV_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	624	517	161	315	182	141	122	202	229	288	157	85	158	86	140	140	145	161	75	91	75	80	97	96	69	97	184	134
DJ_BAC_ASV_26	80	8	35	8	23	13	25	0	11	0	30	9	28	16	26	18	30	34	83	60	73	129	101	124	144	69	106	179	271	244	138	174	96	160	229	177	372	248	260	239	161	187
DJ_BAC_ASV_397	64	212	118	218	237	181	512	429	355	555	174	114	274	242	0	0	0	0	95	60	63	101	0	101	0	1	0	9	24	35	15	0	0	0	0	15	5	16	0	0	0	0
DJ_BAC_ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	12	25	27	253	267	246	298	486	342	180	43	110	42	100	196	120	257	42	84	132	38	117	41	32	73	240	57
DJ_BAC_ASV_76	25	7	14	19	109	73	17	0	0	7	105	46	83	62	51	57	369	192	37	44	59	75	21	40	33	28	13	18	58	48	50	58	68	44	241	76	73	174	1039	233	24	26
DJ_BAC_ASV_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	49	82	277	176	228	296	164	180	88	132	42	114	83	192	257	318	226	117	72	118	64	66	41	41	86	73	50
DJ_BAC_ASV_116	66	24	173	86	156	97	279	270	294	372	109	66	213	172	67	34	153	75	45	69	170	156	28	62	20	12	9	10	26	16	19	22	27	42	29	23	26	23	27	32	21	26
DJ_BAC_ASV_51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	362	57	108	149	57	43	62	70	79	70	34	48	45	76	61	69	68	188	106	99	309	104	32	69	169	197	198
DJ_BAC_ASV_2225	196	67	71	147	196	103	542	273	104	464	190	87	278	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_2995	173	149	168	126	161	121	329	239	285	261	141	128	306	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_21	0	0	35	24	0	0	63	47	108	70	0	0	0	0	299	70	179	136	0	36	79	104	43	207	83	32	35	0	46	41	0	48	0	47	44	0	22	55	405	105	195	136
DJ_BAC_ASV_147	9	1	11	9	135	87	23	3	4	28	132	49	49	31	8	7	15	6	28	11	77	76	22	43	11	4	11	15	13	14	17	59	84	101	20	27	46	276	988	165	15	11
DJ_BAC_ASV_115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	60	325	79	22	29	270	280	32	94	29	16	43	23	80	136	31	79	63	113	54	57	115	373	45	69	34	20
DJ_BAC_ASV_173	41	35	37	46	132	137	118	84	89	79	133	126	155	161	21	8	47	33	72	101	149	219	11	130	14	8	10	12	60	61	15	28	17	12	21	9	28	63	31	16	23	28
DJ_BAC_ASV_265	186	360	72	534	71	89	103	193	106	114	62	113	8	20	3	4	3	0	0	19	14	6	0	8	0	0	0	0	22	29	0	0	0	0	0	0	109	339	14	3	6	0
DJ_BAC_ASV_117	69	26	153	50	110	95	205	157	219	238	119	60	103	72	73	32	89	32	18	27	36	83	13	29	31	8	12	10	18	14	29	21	17	36	20	19	24	31	25	28	23	22
