#OTU ID	CJ1_B_At	CJ1_S_At	LG1_B_At	LG1_S_At	LG2_S_At	SY1_B_At	SY1_S_At	SY2_B_At	SY2_S_At	WC1_B_At	WC1_S_At	WC2_B_At	WC2_S_At	W18_A	W19_A	W20_A	W21_A	W22_A	W23_A	W24_A	W25_A	W26_A	W27_A	W28_A	W29_A	W30_A	W31_A	W32_A	W33_A	W34_A	W35_A	W36_A	W37_A	W38_A	W39_A	W40_A	W41_A	W42_A	W43_A	W44_A	W45_A
DJ_BAC_ASV_108	7	27	0	0	13	24	27	19	10	0	0	0	0	0	29	29	43	85	32	18	20	20	23	17	0	3	80	35	24	3	11	9	0	7	3	0	12	0	15	0	0
DJ_BAC_ASV_187	30	30	18	19	25	43	73	32	16	6	24	20	10	28	13	27	35	58	62	12	12	0	10	0	0	0	0	0	10	0	5	7	0	0	0	0	15	0	0	3	0
DJ_BAC_ASV_4656	14	17	85	76	76	28	18	23	17	17	68	81	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_18499	46	20	30	42	36	203	87	33	27	9	33	21	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHN_BAC_ASV_62	0	0	80	115	100	51	81	0	0	0	62	83	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_411	0	0	0	0	0	0	0	0	0	0	0	0	0	113	66	62	94	0	47	0	37	0	29	1	0	0	0	22	19	17	7	0	0	0	0	20	63	0	0	6	0
DJ_BAC_ASV_191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	38	46	16	105	51	31	45	71	39	12	22	32	0	60
DJ_BAC_ASV_241	0	0	0	0	0	0	0	0	0	0	0	0	0	51	22	52	46	23	87	39	76	0	38	4	0	10	1	0	5	19	0	8	30	6	0	2	0	22	29	5	13
DJ_BAC_ASV_486	42	30	0	0	0	99	24	71	48	0	0	0	0	0	0	0	0	56	65	50	60	0	22	0	0	0	0	0	6	0	5	0	0	0	0	0	7	0	0	0	0
DJ_BAC_ASV_2738	0	0	66	58	45	72	108	24	21	26	60	42	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_164	0	13	0	0	0	0	0	10	0	0	0	0	0	0	13	0	0	0	9	74	30	32	25	30	7	13	2	20	36	83	49	29	19	6	2	11	31	5	13	9	7
DJ_BAC_ASV_918	0	0	0	0	0	0	0	0	0	0	0	0	0	167	18	218	148	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHN_BAC_ASV_165	18	4	67	71	64	34	15	17	14	53	82	68	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_8189	0	0	78	70	69	34	18	39	0	35	68	73	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHN_BAC_ASV_199	36	32	43	45	45	26	12	63	27	28	65	84	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_5152	60	0	37	45	62	85	0	30	18	0	72	73	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	2	4	0	0	8	0	4	0	6	0	10	6	21	334	26	25	4	38	5	16	4	9	12	13
DJ_BAC_ASV_248	0	0	0	0	0	0	0	0	0	0	0	0	0	106	32	0	0	0	0	0	16	0	6	0	46	22	18	18	13	44	25	9	20	9	0	35	43	25	23	12	33
HHN_BAC_ASV_178	161	15	7	9	0	14	0	41	14	150	29	77	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHN_BAC_ASV_124	105	75	0	0	19	10	0	163	54	25	45	33	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_215	58	30	30	23	15	26	25	34	21	54	29	19	54	0	15	0	0	31	47	0	15	2	4	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	9	0	0
DJ_BAC_ASV_342	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	30	0	15	27	78	31	31	7	33	19	23	29	71	19	11	20	14	9	0	11	5	8	7	29
DJ_BAC_ASV_114	23	0	0	0	0	0	0	42	8	0	0	0	6	20	40	67	47	3	9	28	59	8	14	5	0	0	0	0	17	9	14	10	23	7	0	4	14	20	36	5	4
DJ_BAC_ASV_121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	95	84	0	0	0	27	110	98	39	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0
HHN_BAC_ASV_357	0	257	0	0	0	5	6	0	185	56	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_4894	39	40	22	26	27	130	154	18	21	3	8	18	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	50	0	0	0	65	56	16	11	0	0	0	0	4	21	5	0	0	81	17	0	0	27	20	36	6	14
DJ_BAC_ASV_1869	25	36	57	38	54	37	56	31	21	5	69	46	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_208	10	13	49	22	21	41	24	58	0	11	0	33	15	29	26	0	36	27	0	0	35	0	7	4	0	3	0	0	4	0	12	3	10	3	0	0	3	0	0	0	0
DJ_BAC_ASV_430	22	0	17	12	0	29	0	0	7	46	3	7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	0	0	0	33	7	10	25	20	38	106	28	45	32
DJ_BAC_ASV_4142	7	106	13	0	0	0	30	0	215	89	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	17	0	0
DJ_BAC_ASV_134	131	0	0	0	0	0	0	0	0	65	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	10	11	6	4	11	46	26	7	15	45	13	10	20	12	17	28
DJ_BAC_ASV_2289	0	0	54	29	0	0	0	56	38	235	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
